ID,Car Type,Model,Condition,Color,Capacity,Mileage,Fuel Type,Transmission,VIN,Price,Cars Available
1,Hatchback,Honda Fit,New,Yellow,5,3055,Hybrid,Automatic,YNA6L2L65Z33P6C4O,23471.55,3
2,Sedan,Toyota Camry,New,Silver,5,3067,Diesel,Automatic,61J7MKYN8AUG05XV3,20688.35,5
3,SUV,Toyota RAV4,New,Green,5,2903,Gasoline,Automatic,FVCRJHUHZCEX8LCDC,33050.65,7
4,Sedan,Honda Accord,New,Blue,5,3037,Hybrid,Manual,R5T34D4J4R4B9AKWL,27905.26,6
5,Sedan,Toyota Camry,New,Red,5,1549,Electric,Manual,8GMF6CY57FKFWJWF2,49859.1,6
6,SUV,Ford Explorer,New,White,7,523,Hybrid,Manual,OPKEZUHPO3JAXON37,20414.56,4
7,Pickup,Ford F-150,New,Black,5,339,Gasoline,Automatic,9OV4OJ6SREVR4V2ZQ,21687.59,10
8,Sedan,Honda Accord,Used,Silver,5,102639,Electric,Automatic,LFQPTQR031YTVPP1E,47923.73,4
9,Sedan,Honda Accord,New,Black,5,1518,Diesel,Manual,92UZINYP8A0KIJEI9,38296.01,10
10,SUV,Toyota RAV4,Used,Yellow,5,77009,Diesel,Automatic,0JXHMCBULISXP7E8J,27068.68,3
11,Sedan,Nissan Altima,New,Green,5,3718,Hybrid,Automatic,5V4P8GNLJ8HHDB083,43403.38,7
12,Pickup,Toyota Tacoma,New,Red,5,2771,Gasoline,Manual,KFPBWW4MWB2JNA559,37757.99,4
13,Pickup,Chevrolet Silverado,Used,Blue,5,128830,Hybrid,Automatic,CA31K96L8M3EGKKSE,33207.49,4
14,SUV,Honda CR-V,New,White,5,2328,Hybrid,Manual,MADRYCTUZDUYDXR08,15678.92,6
15,SUV,Chevrolet Tahoe,New,White,8,4963,Hybrid,Manual,6DOGIG6C1LUL3NZKN,32241.67,9
16,SUV,Honda CR-V,New,Black,5,2138,Gasoline,Manual,MPB8BLG5L87JNJU15,30232.68,9
17,Sedan,Nissan Altima,New,Yellow,5,3277,Gasoline,Automatic,JK1AFWOW3PIIVB6WX,41081.58,3
18,Sedan,Ford Fusion,New,Red,5,632,Hybrid,Manual,NXA7CK7H86OYHM54Y,23333.19,3
19,Hatchback,Ford Fiesta,Used,Red,5,21871,Hybrid,Automatic,HJ2XOMJUC2HL77ZKC,29330.03,2
20,SUV,Honda CR-V,Used,Silver,5,44889,Hybrid,Automatic,H819FZ1PIUNP37YIO,29199.99,4
21,Sedan,Ford Fusion,New,Blue,5,2887,Hybrid,Automatic,LS2DQ4ZIZ6IFRJ6CG,36419.38,8
22,Sedan,Toyota Camry,Used,Silver,5,41396,Diesel,Manual,IDRMODUU9DQWO8SY3,39618.11,5
23,SUV,Toyota RAV4,New,Silver,5,3061,Gasoline,Automatic,C4I0O060307TJPAVK,41478.4,5
