Id,CarType,Model,Color,Capacity,FuelType,Transmission,Vin,Price,CarsAvailable
4,Sedan,Honda Accord,Blue,5,Hybrid,Manual,R5T34D4J4R4B9AKWL,27905.26,6
2,Sedan,Toyota Camry,Silver,5,Diesel,Automatic,61J7MKYN8AUG05XV3,20688.35,2
3,SUV,Toyota RAV4,Green,5,Gasoline,Automatic,FVCRJHUHZCEX8LCDC,33050.65,6
4,Sedan,Honda Accord,Blue,5,Hybrid,Manual,R5T34D4J4R4B9AKWL,27905.26,5
2,Sedan,Toyota Camry,Silver,5,Diesel,Automatic,61J7MKYN8AUG05XV3,20688.35,1,neo
4,Sedan,Honda Accord,Blue,5,Hybrid,Manual,R5T34D4J4R4B9AKWL,27905.26,4,neo
4,Sedan,Honda Accord,Blue,5,Hybrid,Manual,R5T34D4J4R4B9AKWL,29649.33875,3,neo
4,Sedan,Honda Accord,Blue,5,Hybrid,Manual,R5T34D4J4R4B9AKWL,29649.33875,2,neo
5,Sedan,Toyota Camry,Red,5,Electric,Manual,8GMF6CY57FKFWJWF2,52975.29375,6,neo
6,SUV,Ford Explorer,White,7,Hybrid,Manual,OPKEZUHPO3JAXON37,21690.47,3,neo
4,Sedan,Honda Accord,Blue,5,Hybrid,Manual,R5T34D4J4R4B9AKWL,29649.33875,1,neo
6,SUV,Ford Explorer,White,7,Hybrid,Manual,OPKEZUHPO3JAXON37,21690.47,2,neo
3,SUV,Toyota RAV4,Green,5,Gasoline,Automatic,FVCRJHUHZCEX8LCDC,35116.315625,6,neo
5,Sedan,Toyota Camry,Red,5,Electric,Manual,8GMF6CY57FKFWJWF2,52975.29375,6,neo
3,SUV,Toyota RAV4,Green,5,Gasoline,Automatic,FVCRJHUHZCEX8LCDC,35116.315625,5,neo
6,SUV,Ford Explorer,White,7,Hybrid,Manual,OPKEZUHPO3JAXON37,21690.47,3,neo
